"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Яндекс.Самокат","Аккордеон с вопросами","Открытие ответов на вопросы","0","0","8","0","0"
"Яндекс.Самокат","Заказ самоката","Полный флоу позитивного сценария заказа","0","0","4","0","0"
"Яндекс.Самокат","Навигация по логотипам","Навигация на внешний ресурс","0","0","1","0","0"
"Яндекс.Самокат","Навигация по логотипам","Навигация на главную страницу","0","0","1","0","0"
